Right/Wrong,Conf Pred Right,Actual,Max,Ranking Array
Right,80.0,Other,4,"[('Other', 4), ('viva mexico y calderon tambien', 1)]"
Right,71.43,Other,5,"[('Other', 5), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Wrong,71.43,viva mexico y calderon tambien,5,"[('Other', 5), ('Democratic Party', 2)]"
Wrong,66.67,Republican Party,4,"[('Other', 4), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Wrong,60.0,Very conservative,6,"[('Other', 6), ('Democratic Party', 2), ('viva mexico y calderon tambien', 1), ('Health Care Party', 1)]"
Wrong,57.14,Republican Party,4,"[('Other', 4), ('Democratic Party', 2), ('viva mexico y calderon tambien', 1)]"
Wrong,57.14,Democratic Party,4,"[('Other', 4), ('Vote Saxon', 1), ('viva mexico y calderon tambien', 1), ('Very conservative', 1)]"
Wrong,57.14,None,4,"[('Other', 4), ('party', 1), ('Health Care Party', 1), ('Democratic Party', 1)]"
Wrong,57.14,Democratic Party,4,"[('Other', 4), ('Democratic Party', 2), ('viva mexico y calderon tambien', 1)]"
Wrong,54.55,Democratic Party,6,"[('Other', 6), ('Vote Saxon', 1), ('viva mexico y calderon tambien', 1), ('What are your political beliefs?', 1), ('Democratic Party', 1), ('Republican Party', 1)]"
